word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
dreadful,131,-2.74,1.91,0.84,2.62,-0.9,2.36,10
dream,132,1.73,1.75,-0.47,2.72,0.53,1.98,64
dreary,731,-1.95,1.58,-2.02,2.18,-1.19,1.64,6
dress,133,1.41,1.34,-0.95,1.89,0,1.89,67
drown,591,-3.08,1.48,1.57,2.33,-2.14,1.99,3
dummy,732,-1.62,1.7,-0.65,2.25,-1.33,2.02,3
dump,733,-1.79,1.87,-0.88,2.36,-1.17,1.87,4
dustpan,555,-1.02,1.68,-1.57,2,0.45,1.81,.
earth,134,2.15,1.67,-0.76,2.49,0.61,2.3,150
easy,734,2.1,1.91,-0.52,2.82,2,1.63,125
easygoing,135,2.2,1.5,-0.7,2.52,0.25,1.75,1
eat,136,2.47,1.73,0.69,2.51,0.6,2.12,61
ecstasy,735,2.98,1.52,2.38,1.92,1.68,2.08,6
education,137,1.69,1.77,0.74,2.46,1.15,2.35,214
egg,736,0.29,1.82,-1.24,2.39,-0.51,2.16,12
elated,138,2.45,1.77,1.21,2.3,0.53,2.35,3
elbow,737,0.12,0.92,-1.19,2.14,-0.12,1.52,10
elegant,139,2.43,1.26,-0.47,2.65,0.95,2.09,14
elevator,738,0.44,1.18,-0.84,1.99,-0.68,1.69,12
embarrassed,140,-1.97,1.85,0.87,2.55,-2.13,1.99,8
embattled,141,-0.61,1.63,0.36,2.37,-0.19,1.79,1
employment,147,1.47,1.81,0.28,2.12,0.73,2.08,47
engaged,143,3,1.38,1.77,2.07,1.49,2.22,47
engine,148,0.2,1.18,-1.02,2.33,0,1.77,50
enjoyment,145,2.8,1.2,0.2,2.72,1.46,1.77,21
ennui,146,0.09,1.76,-0.6,2.33,-0.33,1.8,.
enraged,149,-2.54,1.65,2.97,2.17,1.33,2.92,1
erotic,512,2.43,1.53,2.24,1.97,1.39,2.16,8
errand,150,-0.42,1.74,-1.15,1.92,-0.22,1.51,7
event,740,1.21,1.63,0.1,2.4,0.52,1.57,81
evil,741,-1.77,2.64,1.39,2.44,0.25,2.6,72
excellence,151,3.38,0.96,0.54,2.67,2.28,2.32,15
excitement,152,2.5,2.2,2.67,1.91,1.18,2.17,32
excuse,153,-0.95,1.41,-0.52,2.29,-0.93,2.1,27
execution,154,-2.63,2.06,0.71,2.74,-0.89,2.66,15
exercise,155,2.13,1.58,1.84,2.06,0.68,2.44,58
fabric,742,0.3,1.2,-0.86,1.98,0.03,1.61,15
face,556,1.39,1.6,0.04,2.18,0.67,1.58,371
failure,156,-3.3,1.07,-0.05,2.81,-2.6,2.18,89
fall,743,-0.91,2.21,-0.3,2.48,-1,2.15,147
FALSE,744,-1.73,1.4,-1.57,2.09,-0.9,1.56,29
fame,157,2.93,1.29,1.55,2.46,1.85,2.14,18
family,158,2.65,1.55,-0.2,2.71,1,1.87,331
famous,745,1.98,2.07,0.73,2.68,1.32,2.18,89
fantasy,746,2.41,1.9,0.14,2.82,1.43,2.05,14
farm,557,0.53,1.85,-1.1,1.95,0.59,1.81,125
fascinate,159,2.34,1.68,0.83,2.73,1.15,1.89,3
fat,160,-2.72,1.92,-0.19,2.8,-0.53,3.06,60
father,161,2.08,2.2,0.92,2.6,0.63,2.89,383
fatigued,162,-1.72,1.43,-2.36,2.19,-1.22,1.97,3
fault,747,-1.57,1.38,-0.93,1.69,-0.98,1.66,22
favor,748,1.46,1.52,-0.46,1.86,0.67,1.76,78
fear,592,-2.24,2.12,1.96,2.17,-1.78,2.2,127
fearful,163,-2.75,1.18,1.33,2.28,-1.36,2.18,13
feeble,164,-1.74,1.47,-0.9,2.07,-2.29,1.64,8
